model,precision,recall,mAP@0.5,mAP@0.5:0.95
baseline,0.7438,0.7204,0.777,0.4451
baseline1024,0.7088,0.7196,0.7389,0.3968
cp640,0.7201,0.711,0.7555,0.4202
cbam,0.7308,0.7118,0.7826,0.4356
p2_layer,0.7271,0.7461,0.7883,0.4199
cbam_p2_head,0.736,0.7125,0.7831,0.417
wiou,0.7498,0.7043,0.7819,0.4241
focal,0.7284,0.6907,0.7772,0.4242
data_augmentation,0.717,0.7469,0.7799,0.4186
cbam_gfpn_neck,0.8026,0.6795,0.7825,0.4243
se,0.7799,0.682,0.7735,0.4269
cbamp2,0.7177,0.692,0.761,0.4151
cbamp3,0.7177,0.692,0.761,0.4151
cbamp4,0.7807,0.6894,0.7591,0.41
cbamp5,0.7734,0.7241,0.7861,0.411
cbamp3+p4,0.6893,0.7452,0.7692,0.4241
cbamfull,0.761,0.693,0.771,0.422
cbam_p2p3p4p5,0.704,0.74,0.778,0.433
