model,precision,recall,mAP@0.5,mAP@0.5:0.95
baseline,0.7,0.7303,0.7732,0.4337
baseline1024,0.774,0.6978,0.7679,0.4053
cp640,0.7198,0.6846,0.7445,0.4044
cbam,0.7595,0.7011,0.7868,0.4213
p2_layer,0.734,0.7245,0.7649,0.3907
cbam_p2_head,0.6961,0.6932,0.752,0.3836
wiou,0.7001,0.7125,0.764,0.4052
focal,0.6473,0.7105,0.7437,0.4045
data_augmentation,0.6961,0.7591,0.7552,0.3898
cbam_gfpn_neck,0.6811,0.6542,0.7318,0.3866
se,0.7024,0.6903,0.7594,0.3997
cbamp2,0.7444,0.6768,0.7566,0.4032
cbamp3,0.7444,0.6768,0.7566,0.4032
cbamp4,0.7575,0.6799,0.7421,0.3964
cbamp5,0.7558,0.6944,0.7542,0.3962
cbamp3+p4,0.6632,0.7123,0.7462,0.4056
cbamfull,0.684,0.712,0.744,0.402
cbam_p2p3p4p5,0.639,0.738,0.746,0.406
