epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.1774,1.92895,3.88261,1.99136,0.00493,0.57664,0.03751,0.01551,2.24788,3.59,2.28713,0.000996825,0.000332275,0.000996825,0.000332275,0.000996825,0.000332275,0.000996825,0.000332275
2,53.2245,1.68546,3.73343,1.77573,0.73266,0.09052,0.1151,0.04717,1.78862,3.27465,1.92772,0.00198035,0.000660117,0.00198035,0.000660117,0.00198035,0.000660117,0.00198035,0.000660117
3,75.1931,1.56381,3.49233,1.71507,0.62994,0.20672,0.22029,0.09943,1.64225,3.02182,1.87082,0.00294738,0.000982459,0.00294738,0.000982459,0.00294738,0.000982459,0.00294738,0.000982459
4,96.76,1.53477,3.09588,1.69609,0.66645,0.34477,0.35366,0.18094,1.61132,2.68998,1.85317,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
5,118.635,1.52697,2.75425,1.67952,0.54509,0.35244,0.4231,0.21026,1.59698,2.48697,1.80641,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967
6,141.367,1.50059,2.56345,1.64512,0.62576,0.43155,0.50732,0.25156,1.59955,2.44838,1.79384,0.00287625,0.00095875,0.00287625,0.00095875,0.00287625,0.00095875,0.00287625,0.00095875
7,163.884,1.48678,2.38914,1.63699,0.48146,0.59411,0.56656,0.27744,1.55966,2.07492,1.75088,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
8,186.281,1.48188,2.30808,1.6199,0.70883,0.52491,0.57508,0.28845,1.54796,1.9389,1.71877,0.00282675,0.00094225,0.00282675,0.00094225,0.00282675,0.00094225,0.00282675,0.00094225
9,208.915,1.46819,2.2296,1.61197,0.56582,0.60429,0.57872,0.28816,1.5592,1.92526,1.71212,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934
10,231.758,1.45597,2.16003,1.58869,0.49769,0.56663,0.53864,0.26607,1.63061,2.13669,1.81657,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
11,254.894,1.43337,2.11853,1.57127,0.54673,0.59768,0.61767,0.31335,1.4946,1.83792,1.67272,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175
