epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,29.5424,2.06641,4.0191,2.19362,0.00489,0.54145,0.04991,0.02212,2.27778,3.60009,2.30967,0.000996825,0.000332275,0.000996825,0.000332275,0.000996825,0.000332275,0.000996825,0.000332275
2,53.8712,1.73303,3.80334,1.90218,0.75607,0.08137,0.12437,0.05533,1.94675,3.32017,2.09083,0.00198035,0.000660117,0.00198035,0.000660117,0.00198035,0.000660117,0.00198035,0.000660117
3,76.6829,1.59744,3.57792,1.81526,0.28099,0.20955,0.19243,0.08413,1.8176,3.44321,2.03137,0.00294738,0.000982459,0.00294738,0.000982459,0.00294738,0.000982459,0.00294738,0.000982459
4,99.3062,1.5231,3.1584,1.74653,0.45542,0.29621,0.28452,0.13174,1.72096,2.90419,1.85447,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525,0.00292575,0.00097525
5,122.311,1.50093,2.81801,1.72728,0.5924,0.44247,0.43619,0.21529,1.63895,2.53019,1.79222,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967,0.002901,0.000967
6,147.076,1.48485,2.59454,1.72639,0.5344,0.51961,0.52353,0.24672,1.64687,2.2539,1.79776,0.00287625,0.00095875,0.00287625,0.00095875,0.00287625,0.00095875,0.00287625,0.00095875
7,170.013,1.49318,2.44467,1.69782,0.49471,0.56311,0.53801,0.25909,1.65675,2.03589,1.75728,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505,0.0028515,0.0009505
8,193.273,1.47338,2.34222,1.67946,0.54833,0.55516,0.56002,0.26162,1.69357,2.01808,1.76233,0.00282675,0.00094225,0.00282675,0.00094225,0.00282675,0.00094225,0.00282675,0.00094225
9,216.782,1.44013,2.23252,1.65394,0.57056,0.57242,0.58781,0.28231,1.65151,1.92526,1.76788,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934,0.002802,0.000934
10,239.834,1.43168,2.20127,1.64183,0.51674,0.6327,0.60758,0.29085,1.64553,1.82917,1.74692,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575,0.00277725,0.00092575
11,262.759,1.42146,2.15664,1.61568,0.60125,0.63487,0.64881,0.32785,1.57494,1.71894,1.69,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175,0.0027525,0.0009175
12,285.708,1.41059,2.06974,1.60509,0.55597,0.61532,0.62053,0.30258,1.64438,1.72109,1.72677,0.00272775,0.00090925,0.00272775,0.00090925,0.00272775,0.00090925,0.00272775,0.00090925
13,308.716,1.38551,2.03259,1.58475,0.63738,0.63011,0.65457,0.33373,1.59056,1.72741,1.70104,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901,0.002703,0.000901
14,331.529,1.37932,1.99767,1.60168,0.58807,0.64409,0.63988,0.31811,1.61649,1.66687,1.71176,0.00267825,0.00089275,0.00267825,0.00089275,0.00267825,0.00089275,0.00267825,0.00089275
15,354.441,1.37835,1.97644,1.58907,0.6335,0.60468,0.64946,0.32859,1.59984,1.6623,1.67405,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845,0.0026535,0.0008845
16,378.124,1.3821,1.94582,1.57344,0.58416,0.62829,0.58916,0.27427,1.72188,1.80349,1.788,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625,0.00262875,0.00087625
17,401.385,1.35192,1.92034,1.56682,0.66558,0.67215,0.6937,0.35284,1.57034,1.57304,1.65809,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868,0.002604,0.000868
18,424.51,1.34817,1.90718,1.56773,0.68719,0.6527,0.69024,0.35542,1.575,1.571,1.67058,0.00257925,0.00085975,0.00257925,0.00085975,0.00257925,0.00085975,0.00257925,0.00085975
19,447.923,1.36224,1.87412,1.56853,0.60283,0.64529,0.65706,0.33011,1.64904,1.59087,1.70221,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515,0.0025545,0.0008515
20,470.725,1.33633,1.88427,1.56044,0.64272,0.65949,0.68461,0.35659,1.55028,1.50512,1.66136,0.00252975,0.00084325,0.00252975,0.00084325,0.00252975,0.00084325,0.00252975,0.00084325
21,493.465,1.32586,1.83756,1.55172,0.69468,0.64681,0.70298,0.36453,1.56632,1.51936,1.65681,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835
22,516.355,1.32242,1.80018,1.5435,0.64699,0.67595,0.6965,0.35757,1.59693,1.53512,1.6979,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675,0.00248025,0.00082675
23,539.143,1.34135,1.826,1.55728,0.60241,0.64574,0.68154,0.34668,1.60016,1.56896,1.69083,0.0024555,0.0008185,0.0024555,0.0008185,0.0024555,0.0008185,0.0024555,0.0008185
24,561.699,1.31957,1.77737,1.54394,0.63093,0.68788,0.69578,0.36977,1.52403,1.47098,1.66069,0.00243075,0.00081025,0.00243075,0.00081025,0.00243075,0.00081025,0.00243075,0.00081025
25,584.674,1.3052,1.73973,1.52241,0.63093,0.64721,0.6634,0.34215,1.58848,1.53802,1.686,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802,0.002406,0.000802
26,607.945,1.29814,1.72722,1.52554,0.71326,0.63732,0.69413,0.35648,1.5885,1.4685,1.66323,0.00238125,0.00079375,0.00238125,0.00079375,0.00238125,0.00079375,0.00238125,0.00079375
27,631.728,1.3121,1.71728,1.51759,0.63287,0.68247,0.66851,0.35195,1.55029,1.5747,1.66125,0.0023565,0.0007855,0.0023565,0.0007855,0.0023565,0.0007855,0.0023565,0.0007855
28,654.603,1.28555,1.68187,1.50793,0.61718,0.6729,0.68308,0.3547,1.58175,1.49485,1.67664,0.00233175,0.00077725,0.00233175,0.00077725,0.00233175,0.00077725,0.00233175,0.00077725
29,678.069,1.28764,1.67776,1.49842,0.66136,0.6863,0.70862,0.37007,1.55531,1.44858,1.65853,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769,0.002307,0.000769
30,701.163,1.28635,1.64912,1.50423,0.64561,0.69442,0.71042,0.37439,1.55269,1.42246,1.63086,0.00228225,0.00076075,0.00228225,0.00076075,0.00228225,0.00076075,0.00228225,0.00076075
31,724.018,1.27418,1.67666,1.49901,0.68208,0.67826,0.7037,0.36283,1.58074,1.42576,1.68199,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525,0.0022575,0.0007525
32,746.844,1.27127,1.62474,1.47944,0.62915,0.69892,0.70614,0.36612,1.58525,1.43521,1.67313,0.00223275,0.00074425,0.00223275,0.00074425,0.00223275,0.00074425,0.00223275,0.00074425
33,769.507,1.26893,1.63181,1.48896,0.68528,0.7033,0.71852,0.37038,1.57321,1.41916,1.66303,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736,0.002208,0.000736
34,792.803,1.27794,1.63748,1.49413,0.69245,0.64174,0.68039,0.3529,1.59407,1.4721,1.68894,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775,0.00218325,0.00072775
35,816.129,1.26012,1.58464,1.48015,0.69459,0.65374,0.71061,0.37135,1.58026,1.39531,1.66139,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195,0.0021585,0.0007195
36,839.548,1.26117,1.59286,1.48053,0.67476,0.70134,0.70804,0.3729,1.56179,1.40255,1.67275,0.00213375,0.00071125,0.00213375,0.00071125,0.00213375,0.00071125,0.00213375,0.00071125
37,863.774,1.26311,1.58822,1.47797,0.63625,0.69892,0.7041,0.36631,1.57562,1.41146,1.66814,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703,0.002109,0.000703
38,887.201,1.24668,1.56904,1.47385,0.67785,0.67285,0.70441,0.37242,1.56194,1.40472,1.66899,0.00208425,0.00069475,0.00208425,0.00069475,0.00208425,0.00069475,0.00208425,0.00069475
39,911.078,1.24608,1.56377,1.47194,0.69018,0.6602,0.69741,0.36364,1.56347,1.44706,1.67119,0.0020595,0.0006865,0.0020595,0.0006865,0.0020595,0.0006865,0.0020595,0.0006865
40,934.677,1.22487,1.56308,1.4581,0.68063,0.70838,0.72823,0.37597,1.55823,1.38968,1.65945,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825,0.00203475,0.00067825
41,958.304,1.23675,1.56936,1.46999,0.63966,0.68492,0.70491,0.37776,1.54575,1.38604,1.64393,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067,0.00201,0.00067
42,981.717,1.24135,1.51343,1.45768,0.66952,0.71527,0.72864,0.38006,1.56854,1.39569,1.659,0.00198525,0.00066175,0.00198525,0.00066175,0.00198525,0.00066175,0.00198525,0.00066175
43,1004.88,1.23603,1.51892,1.45728,0.68652,0.69239,0.7225,0.36153,1.60465,1.41734,1.68159,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535,0.0019605,0.0006535
44,1028.49,1.22572,1.50466,1.45313,0.68849,0.66698,0.71352,0.37012,1.56541,1.4076,1.66152,0.00193575,0.00064525,0.00193575,0.00064525,0.00193575,0.00064525,0.00193575,0.00064525
45,1051.84,1.21991,1.48203,1.44263,0.65101,0.70625,0.7144,0.37286,1.56256,1.41251,1.68222,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637,0.001911,0.000637
46,1075.42,1.19312,1.48262,1.43625,0.71121,0.67421,0.72265,0.37972,1.5666,1.37703,1.68613,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875,0.00188625,0.00062875
47,1099.84,1.21849,1.4849,1.4496,0.67245,0.69631,0.71958,0.37861,1.56345,1.38644,1.69373,0.0018615,0.0006205,0.0018615,0.0006205,0.0018615,0.0006205,0.0018615,0.0006205
48,1123.53,1.1994,1.47744,1.43077,0.69461,0.69924,0.73766,0.39041,1.54473,1.37013,1.66204,0.00183675,0.00061225,0.00183675,0.00061225,0.00183675,0.00061225,0.00183675,0.00061225
49,1147.02,1.18302,1.43865,1.42443,0.69012,0.69986,0.72247,0.38416,1.54742,1.36568,1.66487,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604,0.001812,0.000604
50,1171.32,1.18742,1.42159,1.40939,0.71502,0.69295,0.74203,0.38953,1.55158,1.32773,1.6653,0.00178725,0.00059575,0.00178725,0.00059575,0.00178725,0.00059575,0.00178725,0.00059575
51,1194.8,1.19043,1.46024,1.42379,0.65067,0.73362,0.73271,0.37952,1.56535,1.36242,1.66954,0.0017625,0.0005875,0.0017625,0.0005875,0.0017625,0.0005875,0.0017625,0.0005875
52,1217.6,1.17097,1.4143,1.40328,0.69812,0.70719,0.74153,0.39331,1.55697,1.33635,1.67059,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925,0.00173775,0.00057925
53,1240.99,1.19083,1.40378,1.41342,0.68855,0.7123,0.73252,0.38786,1.55725,1.33235,1.66413,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571,0.001713,0.000571
54,1264.45,1.18343,1.43019,1.41982,0.75228,0.6711,0.74063,0.38747,1.58677,1.34132,1.68459,0.00168825,0.00056275,0.00168825,0.00056275,0.00168825,0.00056275,0.00168825,0.00056275
55,1287.88,1.16726,1.4186,1.41886,0.66389,0.72457,0.72773,0.38055,1.58193,1.3453,1.69898,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545,0.0016635,0.0005545
56,1310.83,1.1642,1.37827,1.39348,0.67281,0.71534,0.74343,0.3872,1.58379,1.33031,1.69478,0.00163875,0.00054625,0.00163875,0.00054625,0.00163875,0.00054625,0.00163875,0.00054625
57,1334.78,1.17849,1.39974,1.41073,0.71865,0.68261,0.73128,0.38148,1.57752,1.33496,1.68092,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538,0.001614,0.000538
58,1358.9,1.14314,1.37177,1.3902,0.68703,0.70436,0.73222,0.38543,1.56967,1.32441,1.68889,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975,0.00158925,0.00052975
59,1382.34,1.15189,1.37684,1.39118,0.7003,0.70632,0.73886,0.38663,1.56677,1.31039,1.66725,0.0015645,0.0005215,0.0015645,0.0005215,0.0015645,0.0005215,0.0015645,0.0005215
60,1406.19,1.1463,1.35466,1.3867,0.68221,0.71081,0.73883,0.39795,1.55046,1.30944,1.6736,0.00153975,0.00051325,0.00153975,0.00051325,0.00153975,0.00051325,0.00153975,0.00051325
61,1429.69,1.14938,1.37923,1.39752,0.67987,0.7414,0.73338,0.38839,1.58564,1.31481,1.70746,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505,0.001515,0.000505
62,1452.7,1.16262,1.36448,1.40129,0.66078,0.73236,0.72357,0.38535,1.58257,1.32977,1.69813,0.00149025,0.00049675,0.00149025,0.00049675,0.00149025,0.00049675,0.00149025,0.00049675
63,1475.54,1.14169,1.3366,1.3852,0.68774,0.69506,0.72649,0.3815,1.59362,1.3381,1.71657,0.0014655,0.0004885,0.0014655,0.0004885,0.0014655,0.0004885,0.0014655,0.0004885
64,1498.75,1.11504,1.31229,1.35729,0.7057,0.70191,0.73741,0.37925,1.60045,1.31404,1.72304,0.00144075,0.00048025,0.00144075,0.00048025,0.00144075,0.00048025,0.00144075,0.00048025
65,1521.97,1.12772,1.32313,1.38134,0.71918,0.71571,0.7417,0.38998,1.59602,1.29122,1.72362,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472,0.001416,0.000472
66,1544.88,1.13493,1.32607,1.38236,0.725,0.71038,0.75094,0.38624,1.59347,1.32165,1.71384,0.00139125,0.00046375,0.00139125,0.00046375,0.00139125,0.00046375,0.00139125,0.00046375
67,1568.04,1.12251,1.32318,1.37808,0.67783,0.74994,0.73867,0.38884,1.56981,1.31024,1.68699,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555,0.0013665,0.0004555
68,1591.37,1.13309,1.32821,1.37781,0.68237,0.74442,0.74415,0.39168,1.56812,1.30483,1.68191,0.00134175,0.00044725,0.00134175,0.00044725,0.00134175,0.00044725,0.00134175,0.00044725
69,1614.29,1.12257,1.30856,1.37755,0.67319,0.74534,0.73476,0.39209,1.59111,1.29814,1.72706,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439,0.001317,0.000439
70,1637.66,1.12402,1.29813,1.37787,0.67909,0.73339,0.74232,0.39065,1.57438,1.30981,1.71196,0.00129225,0.00043075,0.00129225,0.00043075,0.00129225,0.00043075,0.00129225,0.00043075
71,1660.58,1.11813,1.30138,1.36085,0.69778,0.71494,0.72194,0.3757,1.58879,1.32446,1.71829,0.0012675,0.0004225,0.0012675,0.0004225,0.0012675,0.0004225,0.0012675,0.0004225
72,1683.3,1.119,1.29134,1.35515,0.72865,0.70079,0.73755,0.3992,1.55562,1.27517,1.70283,0.00124275,0.00041425,0.00124275,0.00041425,0.00124275,0.00041425,0.00124275,0.00041425
73,1706.27,1.10989,1.2751,1.34627,0.69336,0.73109,0.73564,0.38929,1.5617,1.30859,1.7089,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
74,1729.25,1.11268,1.28399,1.36422,0.70199,0.7271,0.74189,0.39227,1.58507,1.30207,1.71677,0.00119325,0.00039775,0.00119325,0.00039775,0.00119325,0.00039775,0.00119325,0.00039775
75,1752.06,1.12064,1.28521,1.36032,0.69149,0.73747,0.74141,0.39489,1.56217,1.29623,1.72184,0.0011685,0.0003895,0.0011685,0.0003895,0.0011685,0.0003895,0.0011685,0.0003895
76,1774.89,1.11088,1.26679,1.35568,0.69526,0.71714,0.73606,0.38656,1.60079,1.29556,1.73016,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125,0.00114375,0.00038125
77,1797.77,1.099,1.26416,1.34872,0.70826,0.72216,0.74615,0.40005,1.57951,1.28689,1.70923,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373,0.001119,0.000373
78,1821.27,1.12074,1.26384,1.35732,0.70691,0.73171,0.7451,0.39732,1.57782,1.27704,1.71986,0.00109425,0.00036475,0.00109425,0.00036475,0.00109425,0.00036475,0.00109425,0.00036475
79,1844.3,1.0925,1.26273,1.35137,0.67989,0.72305,0.73207,0.40118,1.56274,1.2899,1.70985,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565,0.0010695,0.0003565
80,1867.45,1.09049,1.26139,1.35104,0.71701,0.71906,0.73874,0.39749,1.57418,1.29411,1.71286,0.00104475,0.00034825,0.00104475,0.00034825,0.00104475,0.00034825,0.00104475,0.00034825
81,1890.61,1.09029,1.24871,1.34627,0.71749,0.70736,0.74097,0.39169,1.58865,1.28636,1.72556,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034,0.00102,0.00034
82,1914.6,1.09268,1.25353,1.34968,0.67833,0.74426,0.73807,0.38443,1.60223,1.28219,1.73841,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175,0.00099525,0.00033175
83,1937.9,1.08462,1.24497,1.34466,0.68427,0.7324,0.73499,0.38611,1.60513,1.28801,1.74352,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235,0.0009705,0.0003235
84,1961.25,1.09371,1.25477,1.35367,0.70028,0.73134,0.73862,0.39511,1.56999,1.26818,1.73022,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525,0.00094575,0.00031525
85,1984.58,1.0923,1.24468,1.34858,0.70466,0.7131,0.73497,0.39189,1.58819,1.27979,1.72862,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
