epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6899,1.25248,1.44022,1.44977,0.68529,0.70556,0.71603,0.39606,1.54499,1.28684,1.71543,0.000332275,0.000332275,0.0671048
2,46.4084,1.22237,1.36144,1.42885,0.65878,0.70006,0.70998,0.39643,1.54681,1.29401,1.7065,0.000649135,0.000649135,0.0340883
3,67.68,1.21046,1.35029,1.40449,0.6512,0.60716,0.63984,0.32971,1.63428,1.56044,1.79554,0.000949494,0.000949494,0.00105531
4,89.056,1.22765,1.35273,1.43372,0.65441,0.66213,0.66744,0.36342,1.58123,1.36013,1.72553,0.00092575,0.00092575,0.00092575
5,110.135,1.24949,1.36503,1.44164,0.6337,0.62303,0.64258,0.34425,1.58795,1.46003,1.73492,0.000901,0.000901,0.000901
6,131.107,1.22901,1.37062,1.43964,0.64113,0.67578,0.66616,0.36888,1.56737,1.36407,1.70563,0.00087625,0.00087625,0.00087625
7,152.284,1.19563,1.33279,1.41531,0.66303,0.67423,0.69669,0.37301,1.57188,1.33882,1.71178,0.0008515,0.0008515,0.0008515
8,173.648,1.21631,1.34023,1.42259,0.60817,0.67576,0.66996,0.3459,1.61561,1.44058,1.75028,0.00082675,0.00082675,0.00082675
9,196.518,1.19679,1.32308,1.40725,0.67457,0.68296,0.69697,0.39033,1.55036,1.3088,1.69236,0.000802,0.000802,0.000802
10,218.522,1.19152,1.29856,1.40662,0.70154,0.67194,0.70036,0.38674,1.53478,1.31102,1.6862,0.00077725,0.00077725,0.00077725
11,239.997,1.20504,1.31435,1.40593,0.66216,0.71497,0.72142,0.38742,1.55489,1.29791,1.70224,0.0007525,0.0007525,0.0007525
12,262.491,1.17101,1.28324,1.39912,0.64006,0.71918,0.71277,0.38563,1.54192,1.30278,1.68506,0.00072775,0.00072775,0.00072775
13,284.578,1.17039,1.2713,1.40197,0.69175,0.66658,0.70711,0.37463,1.56506,1.31808,1.70776,0.000703,0.000703,0.000703
14,307.058,1.16869,1.26446,1.38317,0.65129,0.70409,0.71192,0.38812,1.52762,1.30924,1.68366,0.00067825,0.00067825,0.00067825
15,329.217,1.15227,1.25666,1.38051,0.66841,0.65413,0.68547,0.37076,1.55219,1.35355,1.70469,0.0006535,0.0006535,0.0006535
16,351.318,1.15619,1.23998,1.36794,0.66137,0.70385,0.71105,0.38232,1.56952,1.30708,1.71908,0.00062875,0.00062875,0.00062875
17,373.523,1.16027,1.26098,1.38471,0.64626,0.65299,0.67261,0.35277,1.59135,1.39044,1.74141,0.000604,0.000604,0.000604
18,395.72,1.1414,1.23203,1.36664,0.62723,0.71285,0.7102,0.38074,1.54859,1.29046,1.68658,0.00057925,0.00057925,0.00057925
19,417.931,1.13916,1.24549,1.36345,0.65719,0.70972,0.70759,0.38489,1.57629,1.30441,1.7256,0.0005545,0.0005545,0.0005545
20,441.148,1.11733,1.2176,1.35962,0.68267,0.68642,0.70435,0.38549,1.53381,1.29895,1.69732,0.00052975,0.00052975,0.00052975
21,463.487,1.11781,1.19717,1.34829,0.64335,0.7345,0.71797,0.39665,1.53782,1.26837,1.69487,0.000505,0.000505,0.000505
22,486.139,1.13193,1.20692,1.3645,0.70093,0.7092,0.73557,0.40576,1.5361,1.26292,1.68016,0.00048025,0.00048025,0.00048025
23,508.543,1.10975,1.18779,1.33422,0.65686,0.71955,0.71683,0.39471,1.5326,1.2859,1.68913,0.0004555,0.0004555,0.0004555
24,530.528,1.1031,1.17856,1.34118,0.70116,0.66701,0.7042,0.38949,1.54036,1.29766,1.70078,0.00043075,0.00043075,0.00043075
25,552.542,1.11021,1.17708,1.34479,0.72623,0.68829,0.72965,0.40182,1.53768,1.26402,1.70952,0.000406,0.000406,0.000406
26,574.759,1.09518,1.17238,1.32979,0.72107,0.67168,0.71995,0.38826,1.55219,1.30012,1.71026,0.00038125,0.00038125,0.00038125
27,597.041,1.09858,1.15756,1.32824,0.71005,0.67548,0.71407,0.3928,1.54906,1.28513,1.6886,0.0003565,0.0003565,0.0003565
28,619.1,1.0934,1.15282,1.33318,0.68536,0.68372,0.71213,0.39633,1.53764,1.26631,1.68982,0.00033175,0.00033175,0.00033175
29,641.251,1.09773,1.16664,1.33412,0.69934,0.70034,0.73151,0.4015,1.53777,1.26681,1.68945,0.000307,0.000307,0.000307
30,663.717,1.07953,1.13041,1.32846,0.71669,0.69165,0.72655,0.39922,1.5391,1.25501,1.70322,0.00028225,0.00028225,0.00028225
31,692.944,1.06882,1.16314,1.31773,0.67757,0.70865,0.72488,0.39792,1.53169,1.24704,1.69564,0.0002575,0.0002575,0.0002575
32,715.365,1.08129,1.14885,1.31696,0.71849,0.68716,0.72096,0.39419,1.5433,1.25418,1.70955,0.00023275,0.00023275,0.00023275
33,738.067,1.06142,1.13352,1.31105,0.70472,0.6919,0.72842,0.40059,1.5385,1.23235,1.70093,0.000208,0.000208,0.000208
34,760.501,1.05593,1.12408,1.30037,0.70909,0.71374,0.7348,0.40226,1.53985,1.2266,1.69877,0.00018325,0.00018325,0.00018325
35,782.879,1.05372,1.1129,1.30619,0.73368,0.68688,0.73402,0.40308,1.53862,1.23033,1.69741,0.0001585,0.0001585,0.0001585
36,805.064,1.06376,1.13854,1.31649,0.73786,0.6761,0.73056,0.40619,1.53247,1.21649,1.69715,0.00013375,0.00013375,0.00013375
37,827.329,1.05667,1.1147,1.29983,0.69234,0.70286,0.71854,0.39901,1.54127,1.23892,1.70164,0.000109,0.000109,0.000109
38,849.385,1.05775,1.13474,1.30705,0.69683,0.70572,0.72602,0.40124,1.53605,1.23865,1.69303,8.425e-05,8.425e-05,8.425e-05
39,871.298,1.05969,1.13229,1.31612,0.69716,0.71081,0.72816,0.40082,1.52967,1.22934,1.68534,5.95e-05,5.95e-05,5.95e-05
40,893.377,1.04682,1.12321,1.31036,0.70716,0.69674,0.72862,0.40157,1.53485,1.23756,1.69443,3.475e-05,3.475e-05,3.475e-05
