epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,386.796,1.22706,1.04869,1.56254,0.65293,0.68969,0.70486,0.35526,1.71662,1.30341,2.01234,0.000332275,0.000332275,0.000332275
2,875.288,1.2486,1.09031,1.55038,0.64002,0.68508,0.6915,0.36277,1.73162,1.31302,2.12752,0.000639011,0.000639011,0.000639011
3,1273.08,1.29837,1.13104,1.60641,0.63379,0.68146,0.7023,0.36976,1.68327,1.35109,1.99543,0.000919106,0.000919106,0.000919106
4,1621.68,1.28917,1.17792,1.59493,0.58051,0.65598,0.67507,0.32719,1.74276,1.43372,2.02821,0.00088012,0.00088012,0.00088012
5,2000.57,1.31923,1.16207,1.61738,0.67898,0.62782,0.67681,0.34101,1.72631,1.39671,2.00232,0.00084016,0.00084016,0.00084016
6,2375.17,1.3032,1.18311,1.59793,0.5917,0.6186,0.64052,0.30997,1.81922,1.52084,2.12747,0.0008002,0.0008002,0.0008002
7,2765.28,1.29586,1.17463,1.60501,0.65445,0.67728,0.70631,0.35844,1.72415,1.36776,1.98049,0.00076024,0.00076024,0.00076024
8,3245.54,1.24674,1.09375,1.56535,0.66789,0.6309,0.68229,0.33523,1.80161,1.39013,2.08048,0.00072028,0.00072028,0.00072028
9,3685.61,1.25369,1.08812,1.59097,0.64418,0.68469,0.70003,0.36069,1.73262,1.33299,2.03059,0.00068032,0.00068032,0.00068032
10,4108.23,1.26975,1.12156,1.582,0.65662,0.6851,0.71639,0.37542,1.66815,1.30006,1.99861,0.00064036,0.00064036,0.00064036
11,4559.89,1.23582,1.09404,1.55792,0.63292,0.65954,0.66268,0.33878,1.73574,1.42452,2.03385,0.0006004,0.0006004,0.0006004
12,4982.42,1.26311,1.08893,1.57493,0.61692,0.68266,0.68297,0.34245,1.73279,1.31823,2.04161,0.00056044,0.00056044,0.00056044
13,5368.3,1.24899,1.0839,1.57306,0.62352,0.67643,0.70868,0.36841,1.7065,1.3299,2.02695,0.00052048,0.00052048,0.00052048
14,5735.37,1.23472,1.07508,1.54656,0.68302,0.68612,0.72148,0.37365,1.68746,1.28183,1.99439,0.00048052,0.00048052,0.00048052
15,6141.75,1.21841,1.05031,1.53953,0.71585,0.64732,0.69635,0.35657,1.75132,1.36764,2.0296,0.00044056,0.00044056,0.00044056
16,6530.33,1.38297,1.13972,1.67784,0.69117,0.64572,0.67947,0.33833,1.79445,1.44744,2.07541,0.0004006,0.0004006,0.0004006
17,6867.15,1.33829,1.10591,1.65422,0.64548,0.69056,0.71786,0.36647,1.73751,1.30258,2.02427,0.00036064,0.00036064,0.00036064
18,7303.33,1.26192,1.00527,1.59201,0.69268,0.70485,0.73274,0.38717,1.69348,1.26914,1.97482,0.00032068,0.00032068,0.00032068
19,7679.94,1.24641,0.95422,1.56789,0.72314,0.68292,0.73644,0.3848,1.70111,1.25125,2.0132,0.00028072,0.00028072,0.00028072
20,8016.92,1.22026,0.95537,1.57305,0.72671,0.67337,0.73294,0.38516,1.69582,1.249,2.02584,0.00024076,0.00024076,0.00024076
21,8389.96,1.20859,0.91564,1.53989,0.67468,0.69521,0.71866,0.38292,1.67252,1.246,1.99576,0.0002008,0.0002008,0.0002008
22,8756.87,1.19699,0.90963,1.54103,0.64853,0.72129,0.73164,0.39167,1.65751,1.23772,1.98267,0.00016084,0.00016084,0.00016084
23,9140.88,1.16733,0.85794,1.50337,0.75084,0.65773,0.73673,0.39538,1.66681,1.23196,1.99103,0.00012088,0.00012088,0.00012088
24,9619.44,1.14234,0.8375,1.47705,0.67131,0.69907,0.72992,0.39488,1.65463,1.23942,1.98963,8.092e-05,8.092e-05,8.092e-05
25,10081.8,1.14042,0.82641,1.47675,0.70857,0.67535,0.73088,0.39713,1.65353,1.2259,1.98233,4.096e-05,4.096e-05,4.096e-05
