epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0904,1.33346,2.45645,1.57978,0.69653,0.64878,0.70878,0.39589,1.53269,2.93936,1.70032,0.000329114,0.000329114,0.000329114
2,56.9816,1.36516,2.5696,1.55146,0.62496,0.66861,0.70627,0.3627,1.65335,3.10762,1.75165,0.000640388,0.000640388,0.000640388
3,83.5586,1.40339,2.72011,1.56614,0.51694,0.5818,0.57942,0.29606,1.74427,3.65953,1.86003,0.000929462,0.000929462,0.000929462
4,110.34,1.39938,2.78309,1.57543,0.68364,0.59497,0.67163,0.3578,1.66459,3.37167,1.77261,0.0009001,0.0009001,0.0009001
5,137.141,1.36803,2.68073,1.54688,0.47889,0.44964,0.44003,0.22619,1.91449,4.70495,2.02705,0.0008668,0.0008668,0.0008668
6,164.121,1.3504,2.62217,1.54308,0.63774,0.67057,0.68274,0.372,1.65647,3.13269,1.74477,0.0008335,0.0008335,0.0008335
7,190.647,1.31342,2.43239,1.50987,0.65407,0.65871,0.69967,0.38145,1.58185,3.00577,1.72563,0.0008002,0.0008002,0.0008002
8,217.277,1.29141,2.38887,1.49582,0.68062,0.70034,0.72556,0.39277,1.61351,2.94218,1.74783,0.0007669,0.0007669,0.0007669
9,243.893,1.29788,2.44328,1.49685,0.65304,0.69548,0.72689,0.39664,1.56257,2.89805,1.71255,0.0007336,0.0007336,0.0007336
10,270.737,1.2815,2.35289,1.49052,0.67915,0.69476,0.72421,0.39997,1.61135,2.94522,1.75351,0.0007003,0.0007003,0.0007003
11,297.461,1.27543,2.3437,1.48044,0.65561,0.68115,0.70574,0.38746,1.58983,2.99284,1.74514,0.000667,0.000667,0.000667
12,324.155,1.28387,2.35438,1.47649,0.68415,0.67877,0.72734,0.39839,1.59404,2.95742,1.73096,0.0006337,0.0006337,0.0006337
13,350.702,1.24719,2.26163,1.45912,0.69214,0.69534,0.73432,0.4064,1.62514,2.86162,1.73886,0.0006004,0.0006004,0.0006004
14,377.509,1.18691,2.09933,1.4308,0.6779,0.67876,0.70383,0.40317,1.60194,2.85722,1.77467,0.0005671,0.0005671,0.0005671
15,404.687,1.20512,2.11612,1.43614,0.65505,0.72756,0.7264,0.39765,1.624,2.75539,1.75766,0.0005338,0.0005338,0.0005338
16,431.709,1.20277,2.08214,1.43672,0.6319,0.63848,0.65646,0.34704,1.69133,3.24743,1.82798,0.0005005,0.0005005,0.0005005
17,458.5,1.16571,1.99971,1.40783,0.66607,0.71461,0.71,0.40357,1.56352,2.79841,1.72896,0.0004672,0.0004672,0.0004672
18,485.154,1.12677,1.87226,1.37096,0.65121,0.70029,0.7123,0.39086,1.63806,2.83983,1.75345,0.0004339,0.0004339,0.0004339
19,511.854,1.18961,1.93466,1.39185,0.65928,0.68935,0.71875,0.39637,1.60875,2.73415,1.7435,0.0004006,0.0004006,0.0004006
20,538.631,1.12001,1.78904,1.34863,0.72354,0.69623,0.73527,0.41963,1.5941,2.75642,1.76143,0.0003673,0.0003673,0.0003673
21,598.344,1.08803,1.72163,1.34449,0.7048,0.71436,0.72778,0.40534,1.63105,2.73955,1.807,0.000334,0.000334,0.000334
22,625.226,1.04945,1.67944,1.32709,0.73685,0.68155,0.72662,0.4139,1.62451,2.78362,1.78832,0.0003007,0.0003007,0.0003007
23,652.218,1.05867,1.6544,1.32192,0.67719,0.73147,0.73406,0.42165,1.58232,2.67682,1.75145,0.0002674,0.0002674,0.0002674
24,679.115,1.01012,1.58382,1.28942,0.70937,0.73149,0.75314,0.43476,1.57738,2.6203,1.73527,0.0002341,0.0002341,0.0002341
25,706.185,0.98492,1.50154,1.28206,0.69361,0.74904,0.74696,0.42603,1.57012,2.55623,1.75762,0.0002008,0.0002008,0.0002008
26,733.008,0.99495,1.50426,1.27728,0.69795,0.75986,0.74932,0.42471,1.59543,2.5741,1.77862,0.0001675,0.0001675,0.0001675
27,759.722,0.97855,1.48223,1.27595,0.75139,0.68171,0.74389,0.42964,1.59519,2.62156,1.78525,0.0001342,0.0001342,0.0001342
28,786.47,0.95365,1.42158,1.25937,0.74995,0.69244,0.74888,0.43264,1.59681,2.61358,1.77612,0.0001009,0.0001009,0.0001009
29,813.194,0.95018,1.40109,1.26066,0.72722,0.69572,0.73932,0.42866,1.58936,2.61716,1.77895,6.76e-05,6.76e-05,6.76e-05
30,840.08,0.92254,1.39484,1.2554,0.72746,0.71126,0.74295,0.43072,1.59156,2.57909,1.78384,3.43e-05,3.43e-05,3.43e-05
